"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTheta) []"
28,90,-180,2.16834696548128
28,90,-178,1.10948161834452
28,90,-176,-3.02294246841774
28,90,-174,-9.28324250692661
28,90,-172,-9.65803974165987
28,90,-170,-7.10374062784457
28,90,-168,-5.6664170019589
28,90,-166,-5.71748921064221
28,90,-164,-6.16846828777014
28,90,-162,-4.92564678184766
28,90,-160,-3.02973734297381
28,90,-158,-2.39082747142974
28,90,-156,-3.11360174811533
28,90,-154,-3.80893394662935
28,90,-152,-3.13817564087745
28,90,-150,-1.94865235772187
28,90,-148,-1.28498314698034
28,90,-146,-1.71245255126505
28,90,-144,-3.4009655180772
28,90,-142,-5.64977581112189
28,90,-140,-7.35696276312687
28,90,-138,-9.96595326982993
28,90,-136,-17.0234350373209
28,90,-134,-15.4464451882966
28,90,-132,-10.0033081115536
28,90,-130,-8.97759914485149
28,90,-128,-10.4061250348463
28,90,-126,-13.9973355008753
28,90,-124,-24.0601122425578
28,90,-122,-15.5842122593496
28,90,-120,-8.7916584910096
28,90,-118,-6.32397380266327
28,90,-116,-6.43752072126965
28,90,-114,-8.60006975823334
28,90,-112,-11.0590018428404
28,90,-110,-10.2428180007443
28,90,-108,-8.95177501457793
28,90,-106,-9.64958361300544
28,90,-104,-12.9506341249831
28,90,-102,-14.0003365492526
28,90,-100,-8.36179296420474
28,90,-98,-4.76474235950778
28,90,-96,-3.29722204091713
28,90,-94,-3.5846428012195
28,90,-92,-5.26960295793278
28,90,-90,-6.23754768533476
28,90,-88,-4.21178148628001
28,90,-86,-2.24759063433113
28,90,-84,-1.8800556003832
28,90,-82,-2.76008472246917
28,90,-80,-2.40452807179873
28,90,-78,0.290829768488815
28,90,-76,2.50467069851837
28,90,-74,3.28990915123378
28,90,-72,2.88735293294596
28,90,-70,2.27751859466793
28,90,-68,2.58923503880683
28,90,-66,3.22168968370462
28,90,-64,3.16636908694684
28,90,-62,2.38343929543353
28,90,-60,1.24902746554151
28,90,-58,-0.484745552709055
28,90,-56,-3.32739742284012
28,90,-54,-4.54490628228787
28,90,-52,-3.48988630892625
28,90,-50,-6.05976498133865
28,90,-48,-9.77953128278455
28,90,-46,-0.0697382509838827
28,90,-44,3.75035027899918
28,90,-42,4.24007627749192
28,90,-40,2.99749683141243
28,90,-38,2.85504889745985
28,90,-36,3.55672671878979
28,90,-34,2.46757118869272
28,90,-32,-0.406093825946944
28,90,-30,-1.2602179901675
28,90,-28,-1.22888717198895
28,90,-26,-4.96809319042753
28,90,-24,-4.92778881521293
28,90,-22,1.43476915666411
28,90,-20,2.32231564879592
28,90,-18,-2.66557308016365
28,90,-16,4.15062096418256
28,90,-14,9.07018340789973
28,90,-12,8.81894221122741
28,90,-10,4.51990064074259
28,90,-8,5.6820641084868
28,90,-6,5.52864471948939
28,90,-4,-26.9871661348733
28,90,-2,7.62625590360525
28,90,0,10.643668426137
28,90,2,6.41500985951695
28,90,4,-6.84770797266874
28,90,6,6.00631916167175
28,90,8,4.78511395571267
28,90,10,4.6563552328035
28,90,12,9.01242023479897
28,90,14,8.58588474639036
28,90,16,2.49646085482431
28,90,18,-2.74727126106007
28,90,20,2.19549184518622
28,90,22,0.38402670515954
28,90,24,-7.44463056845988
28,90,26,-5.12069587556568
28,90,28,-1.58091040371959
28,90,30,-0.884500408366812
28,90,32,1.04619674447674
28,90,34,3.22059532330111
28,90,36,3.61990930300595
28,90,38,3.07465424576212
28,90,40,3.90190084975305
28,90,42,4.83645776705837
28,90,44,3.60777706551046
28,90,46,-1.23240691447761
28,90,48,-9.2675629855384
28,90,50,-4.06427959731435
28,90,52,-2.9538982068457
28,90,54,-3.72461329512223
28,90,56,-1.60541439162144
28,90,58,0.708782327504752
28,90,60,1.8867343717465
28,90,62,2.79265509062468
28,90,64,3.58122431453479
28,90,66,3.7288920422194
28,90,68,3.31501326944557
28,90,70,3.26070581407915
28,90,72,3.83419778011278
28,90,74,4.01696077899801
28,90,76,3.05434667633955
28,90,78,0.870682537906525
28,90,80,-1.41336880567923
28,90,82,-1.71963592609208
28,90,84,-1.29269888515678
28,90,86,-1.92431404399955
28,90,88,-3.56088706964504
28,90,90,-4.38419602490568
28,90,92,-3.32723939458094
28,90,94,-2.4399472073815
28,90,96,-2.93107007177594
28,90,98,-5.26008711465431
28,90,100,-10.0493656329092
28,90,102,-13.825447436512
28,90,104,-9.67959943099441
28,90,106,-7.42495261928738
28,90,108,-7.52871725571659
28,90,110,-9.28467272239109
28,90,112,-10.262097249467
28,90,114,-8.21019968288614
28,90,116,-6.46077797692661
28,90,118,-6.65394193297281
28,90,120,-9.47311786409073
28,90,122,-17.6289533584574
28,90,124,-21.7212796851545
28,90,126,-12.0694826583769
28,90,128,-8.78837814506601
28,90,130,-7.71911608380255
28,90,132,-9.04167089208195
28,90,134,-14.6653416805543
28,90,136,-16.5631339747403
28,90,138,-9.58604071099622
28,90,140,-7.40106736865259
28,90,142,-6.25432888165033
28,90,144,-3.85044417737206
28,90,146,-1.74358277708266
28,90,148,-1.05530565768364
28,90,150,-1.64051564214489
28,90,152,-2.86654789835113
28,90,154,-3.60553403231262
28,90,156,-3.22451056232234
28,90,158,-3.03445733021061
28,90,160,-4.02336429252595
28,90,162,-5.26263443116365
28,90,164,-4.99529754674965
28,90,166,-4.11698839690759
28,90,168,-4.28389057533803
28,90,170,-6.60860861622225
28,90,172,-11.8114597865641
28,90,174,-13.8356226172763
28,90,176,-5.10968838603359
28,90,178,0.221255057285273
28,90,180,2.16834696548128
